Ticker,Strike,Bid,Ask,isPut,isFuture
SPX US 6/21/2014 P1350 Index,1350,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1355 Index,1355,5.409000e+02,5.429000e+02,0,0
SPX US 6/21/2014 P1355 Index,1355,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1360 Index,1360,5.359000e+02,5.379000e+02,0,0
SPX US 6/21/2014 P1360 Index,1360,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1365 Index,1365,5.309000e+02,5.329000e+02,0,0
SPX US 6/21/2014 P1365 Index,1365,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1370 Index,1370,5.259000e+02,5.279000e+02,0,0
SPX US 6/21/2014 P1370 Index,1370,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1375 Index,1375,5.209000e+02,5.229000e+02,0,0
SPX US 6/21/2014 P1375 Index,1375,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1380 Index,1380,5.159000e+02,5.179000e+02,0,0
SPX US 6/21/2014 P1380 Index,1380,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1385 Index,1385,5.109000e+02,5.129000e+02,0,0
SPX US 6/21/2014 P1385 Index,1385,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1390 Index,1390,5.059000e+02,5.079000e+02,0,0
SPX US 6/21/2014 P1390 Index,1390,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1395 Index,1395,5.009000e+02,5.029000e+02,0,0
SPX US 6/21/2014 P1395 Index,1395,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1400 Index,1400,4.959000e+02,4.979000e+02,0,0
SPX US 6/21/2014 P1400 Index,1400,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1405 Index,1405,4.909000e+02,4.929000e+02,0,0
SPX US 6/21/2014 P1405 Index,1405,NaN,1.000000e-01,1,0
SPX US 6/21/2014 C1410 Index,1410,4.859000e+02,4.879000e+02,0,0
SPX US 6/21/2014 P1410 Index,1410,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1415 Index,1415,4.809000e+02,4.829000e+02,0,0
SPX US 6/21/2014 P1415 Index,1415,NaN,1.000000e-01,1,0
SPX US 6/21/2014 C1420 Index,1420,4.759000e+02,4.779000e+02,0,0
SPX US 6/21/2014 P1420 Index,1420,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1425 Index,1425,4.709000e+02,4.729000e+02,0,0
SPX US 6/21/2014 P1425 Index,1425,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1430 Index,1430,4.659000e+02,468,0,0
SPX US 6/21/2014 P1430 Index,1430,5.000000e-02,1.000000e-01,1,0
SPX US 6/21/2014 C1435 Index,1435,4.609000e+02,463,0,0
SPX US 6/21/2014 P1435 Index,1435,NaN,1.000000e-01,1,0
SPX US 6/21/2014 C1440 Index,1440,4.559000e+02,458,0,0
SPX US 6/21/2014 P1440 Index,1440,NaN,1.500000e-01,1,0
SPX US 6/21/2014 C1445 Index,1445,4.509000e+02,453,0,0
SPX US 6/21/2014 P1445 Index,1445,NaN,1.500000e-01,1,0
SPX US 6/21/2014 C1450 Index,1450,446,4.481000e+02,0,0
SPX US 6/21/2014 P1450 Index,1450,5.000000e-02,1.500000e-01,1,0
SPX US 6/21/2014 C1455 Index,1455,441,443,0,0
SPX US 6/21/2014 P1455 Index,1455,5.000000e-02,1.500000e-01,1,0
SPX US 6/21/2014 C1460 Index,1460,436,4.381000e+02,0,0
SPX US 6/21/2014 P1460 Index,1460,5.000000e-02,1.500000e-01,1,0
SPX US 6/21/2014 C1465 Index,1465,431,433,0,0
SPX US 6/21/2014 P1465 Index,1465,5.000000e-02,1.500000e-01,1,0
SPX US 6/21/2014 C1470 Index,1470,426,428,0,0
SPX US 6/21/2014 P1470 Index,1470,5.000000e-02,1.500000e-01,1,0
SPX US 6/21/2014 C1475 Index,1475,421,423,0,0
SPX US 6/21/2014 P1475 Index,1475,1.000000e-01,1.500000e-01,1,0
SPX US 6/21/2014 C1480 Index,1480,416,418,0,0
SPX US 6/21/2014 P1480 Index,1480,1.000000e-01,2.000000e-01,1,0
SPX US 6/21/2014 C1485 Index,1485,411,413,0,0
SPX US 6/21/2014 P1485 Index,1485,1.000000e-01,2.000000e-01,1,0
